split_seed,row,n_initializations,n_registered_cams,evaluation_mask_sha256,overall_reprojection_px_init_mean,overall_reprojection_px_init_std,cube_reprojection_px_init_mean,cube_reprojection_px_init_std,board_reprojection_px_init_mean,board_reprojection_px_init_std,e_e2e_translation_mm_init_mean,e_e2e_translation_mm_init_std,e_e2e_rotation_deg_init_mean,e_e2e_rotation_deg_init_std,e_cross_translation_mm_init_mean,e_cross_translation_mm_init_std,e_cross_rotation_deg_init_mean,e_cross_rotation_deg_init_std,cam_0_reprojection_px_init_mean,cam_0_reprojection_px_init_std,cam_1_reprojection_px_init_mean,cam_1_reprojection_px_init_std,cam_2_reprojection_px_init_mean,cam_2_reprojection_px_init_std,cam_3_reprojection_px_init_mean,cam_3_reprojection_px_init_std
20260731,B3,5,2,d402575b380fac0e95ddeea162cf7449ebfd8c54ea970cf6ea3d417a3cd6b4dc,1.2798831737722476,6.468135115902978e-06,,,1.2798831737722476,6.468135115902978e-06,,,,,,,,,0.31088910761260335,2.4697137914120294e-06,0.4600610236024007,3.336928941667707e-05,1.3765716919671216,6.84645906416904e-06,,
20260732,A0,5,2,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,1.3725703024914881,1.185196697633335e-05,,,1.3725703024914881,1.185196697633335e-05,,,,,,,,,0.3134698806628019,2.679012149098157e-07,0.4458270448802753,7.229656662799952e-07,1.480876864082589,1.2916621474255218e-05,,
20260732,A1,5,3,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,4.622641588146993,8.898471108763423e-06,7.498896853368121,1.5571101943944684e-05,1.374194564647282,8.489921990577351e-06,16.780001149554543,0.00016687234610461368,7.848755929164599,5.348933637014524e-05,39.50313452186928,0.0006182017987582182,34.829804836458194,3.528010628956467e-05,10.928149875909018,2.7388628972418117e-05,1.0549238876828648,5.689338274118354e-05,1.5843327080392973,2.031090404901217e-05,1.019968183170324,0.00023475844365497761
20260732,A2,5,3,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,4.4901690148368685,2.8820168813839205e-06,7.273121188300853,3.960162347813018e-06,1.3675527634198699,1.0134200412428376e-05,16.624901012937432,0.00010399196947067868,7.8510227062745725,1.3228818827046656e-05,38.87372431738392,0.00014583001765459312,34.83742487360236,1.524773993422374e-05,10.59305054835437,9.982999273951599e-06,0.8908276556159697,1.8456815572519534e-05,1.6001555957395763,2.0401557769732572e-05,0.8488078313538034,3.348624107203018e-05
20260732,A3,5,3,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,4.600826597520078,1.540186861174422e-05,7.472170066541165,1.6279464865326545e-05,1.3410240144265535,4.696901717182817e-05,16.603246360240504,0.00042903495171239613,7.799718792552414,0.00010295749244981667,38.004387097575936,0.00018062834797247953,34.82253043811459,1.1246447957310603e-05,10.90758470844209,3.390774709079199e-05,0.7673393538939717,3.0369131459002067e-05,1.5521364274584883,4.1100397269514014e-05,0.9867145291368795,1.3333071069990143e-05
20260732,B1,5,3,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,4.612147740287479,1.01998845630273e-05,7.484569853619236,1.6713255259453183e-05,1.3628278373454894,5.114669906174314e-06,16.596584635927293,2.6515098195634613e-05,7.7918027814158535,2.6266503760904995e-05,38.070221168447496,0.0002769116245437933,34.823101625897266,2.775183680960469e-05,10.92739644936343,2.4256030289263888e-05,0.7972034779197604,1.4619661045524972e-05,1.5662048415226668,3.3412898679165996e-06,0.9867240590784909,1.742210626115081e-05
20260732,B2,5,3,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,7.441611910929241,1.3862001016854322e-05,7.441611910929241,1.3862001016854322e-05,,,16.06044247115768,0.0005048620970590352,7.82411058151188,0.00012945412440199325,37.817725317557674,0.0003091334972888814,34.81631903936773,8.876607836340159e-06,14.412859301024486,2.62609356558661e-05,0.808913775657115,8.578540931865039e-06,1.9267621425158872,4.021048739582846e-05,0.9867034452600898,2.671967787686718e-05
20260732,B3,5,2,5255292f66f3750b1d0fe8deadc2c32f7bd6abeab5e2bdab4579a0aa34706c5b,1.3725862957914137,1.3052714917053383e-05,,,1.3725862957914137,1.3052714917053383e-05,,,,,,,,,0.3134664773494447,6.653101223747793e-06,0.4458132689272459,2.701224818236602e-05,1.4808945777414855,1.4135305850549391e-05,,
20260733,A0,5,2,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,1.4691491462566804,9.040054144746781e-06,,,1.4691491462566804,9.040054144746781e-06,,,,,,,,,0.30507575018618194,5.254975709032779e-07,0.5077704169997738,2.3976694538089986e-06,1.575698206485968,9.77851167249049e-06,,
20260733,A1,5,3,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,5.270258242195366,9.219241235457047e-06,8.529069214376335,1.472071504658804e-05,1.4687565141147148,5.194202097119795e-06,18.41700472197192,0.00016863998700844592,8.534843001348069,6.243103885125487e-05,44.45012615290979,0.0005570060699261909,40.50579950804071,4.529015818160863e-05,12.780995742188816,2.8997050009283678e-05,1.111637089636737,5.016948333837449e-05,1.6659529142658656,1.6812228464187955e-05,1.0748317562231775,8.878123158342753e-05
20260733,A2,5,3,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,5.100041679871144,9.637249938261935e-06,8.2373131195731,2.8416195511510553e-05,1.4741663585553948,3.843264039989844e-05,18.354466632327597,0.0003846413982324146,8.522766331583608,0.00014370573790508523,43.80524512702406,0.00028508083405495396,40.51175244257549,7.279621499019521e-05,12.373935192877179,3.424673189255076e-05,0.8239721622272776,7.043087530349798e-05,1.639001617158975,3.663434714324172e-05,0.8402003746690259,0.00016561749877326996
20260733,A3,5,3,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,5.206648150786124,2.727011699083325e-05,8.416951696999295,3.3006693292310356e-05,1.4810535906042563,0.00011730881770951311,18.32207283254014,0.0005293544184693345,8.485230927593443,8.673501877737384e-05,42.92758204210956,0.00027397460603518516,40.49079595856937,2.1693724751890643e-05,12.642880237603741,5.245427516833656e-05,0.7509446317403161,7.209254737599853e-05,1.6540526451688649,8.088729758515416e-05,0.975624249365314,9.959520263307044e-06
20260733,B1,5,3,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,5.21580298760608,1.1616522883444667e-05,8.432958319828874,2.044234518433175e-05,1.4797441660631185,4.475962320270363e-06,18.325195653661982,5.823940905057343e-05,8.479433605886925,2.3050294503750892e-05,42.99172551026938,0.000288232238103266,40.49152613841354,2.9207596061811098e-05,12.665092129286634,3.101515533714417e-05,0.7736543463150801,8.695365188939829e-06,1.6555125767585583,2.738294076394586e-06,0.9756260732966604,1.0308867998991302e-05
20260733,B2,5,3,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,8.391126368375268,3.5227267522039675e-06,8.391126368375268,3.5227267522039675e-06,,,17.722407136216283,0.00018647563513158035,8.519329778284757,9.525877807470695e-05,42.7473032685986,0.00031804005148896057,40.482946933551865,1.5858306214716093e-05,16.375253496937084,1.132132631221798e-05,0.7779419530537641,4.539882013790868e-06,1.9203838411287943,8.340355312519354e-05,0.9756009834849587,1.494910213612981e-05
20260733,B3,5,2,10556cc3c606a8294133f701040b3ea0c4ea84d4eafe58b95478aa278f0ec308,1.4691493354893854,1.0947958565282966e-05,,,1.4691493354893854,1.0947958565282966e-05,,,,,,,,,0.30507494207749464,5.751022077745644e-06,0.507746831109098,5.805385723961206e-05,1.57569876150068,1.2392552702025614e-05,,
