method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A2,72,12,cube,0,270,270,1.0,-2.389891456962885,2.576157147625403,3.103609219084478,5.500899665253364,"[-0.22987005957423143, 0.28253373599420956, 0.015426820130609559]"
A2,72,12,board,1,602,602,1.0,5.737147842084266,5.737147842084266,5.786803422713415,7.2151122910101515,"[-0.2852075270199124, 0.43067426907090783, -0.021726264142533463]"
A2,72,12,cube,1,397,397,1.0,-7.246388722655136,7.246388722655136,6.9849554076319835,8.692700876496598,"[-0.25056903661513863, 0.2659912535429071, 0.012517019623077986]"
A2,72,12,board,2,1187,1187,1.0,-12.321367617250418,12.321367617250418,14.594378663404058,24.257618383658535,"[-0.27602489090653426, 0.4534362811887911, -0.0026108257798929013]"
A2,72,12,cube,2,245,245,1.0,3.4966470831747385,4.908629594989251,5.473048163846003,8.561013801614568,"[-0.2208534464959411, 0.27443295976122845, 0.03274245542727317]"
A2,72,12,board,3,529,529,1.0,-8.128900404170615,8.128900404170615,8.196050590983075,9.884104855892605,"[-0.2778058093506718, 0.5024312781568387, -0.0245757522133677]"
A2,72,12,cube,3,173,173,1.0,-16.110602190480662,16.110602190480662,16.18346228806903,20.135260098490754,"[-0.24444585786034298, 0.27759177420836373, 0.00811970555592288]"
A3,24,4,board,0,546,546,1.0,-7.678348744801227,7.678348744801227,7.985447332765466,11.338374078328286,"[-0.2757870475669904, 0.48420748817238185, -0.025775653483595756]"
A3,24,4,cube,0,273,273,1.0,8.134922152346014,8.134922152346014,8.001592690141692,9.809025711831442,"[-0.22050506020974256, 0.6355406750514464, 0.005177278817443173]"
A3,24,4,board,1,451,451,1.0,6.997517536228339,6.997517536228339,7.158409909469626,9.785201346528368,"[-0.28623987633010756, 0.406080369721162, -0.02507499064832147]"
A3,24,4,cube,1,156,156,1.0,10.10703476229137,10.10703476229137,10.003417412202195,12.028480425137786,"[-0.23046541654959332, 0.631266373986301, 0.012127673390373269]"
